file,segment_type,count_A,count_B,diff_B_minus_A,records_A,records_B
context_105733.json,root_preamble,1,1,0,1,1
context_105870.json,structured,5,5,0,1,1
context_105870.json,root_preamble,1,1,0,1,1
context_10590.json,structured,4,4,0,1,1
context_10590.json,root_preamble,1,1,0,1,1
context_105901.json,structured,9,9,0,1,1
context_105901.json,root_preamble,1,1,0,1,1
context_105934.json,structured,24,24,0,1,1
context_105934.json,root_preamble,1,1,0,1,1
context_106015.json,structured,33,33,0,1,1
context_106015.json,root_preamble,1,1,0,1,1
context_106098.json,structured,35,35,0,1,1
context_106098.json,root_preamble,1,1,0,1,1
context_10612.json,structured,21,21,0,1,1
context_10612.json,root_preamble,1,1,0,1,1
context_106161.json,structured,15,15,0,1,1
context_106161.json,root_preamble,1,1,0,1,1
context_106202.json,structured,6,6,0,1,1
context_106202.json,root_preamble,1,1,0,1,1
context_106223.json,structured,17,17,0,1,1
context_106223.json,root_preamble,1,1,0,1,1
context_106258.json,structured,4,4,0,1,1
context_106258.json,root_preamble,1,1,0,1,1
context_106334.json,unstructured_whole,1,1,0,1,1
context_106371.json,structured,42,42,0,1,1
context_106371.json,root_preamble,1,1,0,1,1
context_106386.json,unstructured_whole,1,1,0,1,1
context_106401.json,structured,27,27,0,1,1
context_106401.json,root_preamble,1,1,0,1,1
context_106500.json,structured,9,9,0,1,1
context_106500.json,root_preamble,1,1,0,1,1
context_106596.json,structured,7,7,0,1,1
context_106596.json,root_preamble,1,1,0,1,1
context_10663.json,structured,24,24,0,1,1
context_10663.json,root_preamble,1,1,0,1,1
context_106712.json,structured,17,17,0,1,1
context_106712.json,root_preamble,1,1,0,1,1
context_106740.json,structured,50,50,0,1,1
context_106740.json,root_preamble,1,1,0,1,1
context_106842.json,structured,8,8,0,1,1
context_106842.json,root_preamble,1,1,0,1,1
context_106872.json,structured,103,103,0,1,1
context_106872.json,root_preamble,1,1,0,1,1
context_106881.json,structured,27,27,0,1,1
context_106881.json,root_preamble,1,1,0,1,1
context_106917.json,structured,7,7,0,1,1
context_106917.json,root_preamble,1,1,0,1,1
context_106989.json,structured,26,26,0,1,1
context_106989.json,root_preamble,1,1,0,1,1
context_107019.json,structured,128,128,0,1,1
context_107019.json,root_preamble,1,1,0,1,1
context_107028.json,structured,8,8,0,1,1
context_107028.json,root_preamble,1,1,0,1,1
context_107059.json,structured,25,25,0,1,1
context_107059.json,root_preamble,1,1,0,1,1
context_107071.json,structured,3,3,0,1,1
context_107071.json,root_preamble,1,1,0,1,1
context_107080.json,structured,11,11,0,1,1
context_107080.json,root_preamble,1,1,0,1,1
context_107101.json,structured,41,41,0,1,1
context_107101.json,root_preamble,1,1,0,1,1
context_107157.json,structured,4,4,0,1,1
context_107157.json,root_preamble,1,1,0,1,1
context_107159.json,structured,2,2,0,1,1
context_107159.json,root_preamble,1,1,0,1,1
context_10719.json,structured,5,5,0,1,1
context_10719.json,root_preamble,1,1,0,1,1
context_107206.json,structured,8,8,0,1,1
context_107206.json,root_preamble,1,1,0,1,1
context_107319.json,structured,99,99,0,1,1
context_107319.json,root_preamble,1,1,0,1,1
context_107370.json,structured,3,3,0,1,1
context_107370.json,root_preamble,1,1,0,1,1
context_107412.json,structured,3,3,0,1,1
context_107412.json,root_preamble,1,1,0,1,1
context_107498.json,structured,3,3,0,1,1
context_107498.json,root_preamble,1,1,0,1,1
context_107501.json,structured,5,5,0,1,1
context_107501.json,root_preamble,1,1,0,1,1
context_107536.json,structured,5,5,0,1,1
context_107536.json,root_preamble,1,1,0,1,1
context_107560.json,structured,20,20,0,1,1
context_107560.json,root_preamble,1,1,0,1,1
context_107589.json,structured,10,10,0,1,1
context_107589.json,root_preamble,1,1,0,1,1
context_10759.json,structured,15,15,0,1,1
context_10759.json,root_preamble,1,1,0,1,1
context_107617.json,structured,8,8,0,1,1
context_107617.json,root_preamble,1,1,0,1,1
context_107674.json,structured,62,62,0,1,1
context_107674.json,root_preamble,1,1,0,1,1
context_107688.json,structured,56,56,0,1,1
context_107688.json,root_preamble,1,1,0,1,1
context_107707.json,structured,17,17,0,1,1
context_107707.json,root_preamble,1,1,0,1,1
context_107812.json,structured,28,28,0,1,1
context_107812.json,root_preamble,1,1,0,1,1
context_10790.json,unstructured_whole,1,1,0,1,1
context_107942.json,structured,20,20,0,1,1
context_107942.json,root_preamble,1,1,0,1,1
context_107977.json,structured,17,17,0,1,1
context_107977.json,root_preamble,1,1,0,1,1
context_108015.json,structured,82,82,0,1,1
context_108015.json,root_preamble,1,1,0,1,1
context_108016.json,structured,28,28,0,1,1
context_108016.json,root_preamble,1,1,0,1,1
context_108051.json,structured,27,27,0,1,1
context_108051.json,root_preamble,1,1,0,1,1
context_108135.json,structured,18,18,0,1,1
context_108135.json,root_preamble,1,1,0,1,1
context_108148.json,structured,52,52,0,1,1
context_108148.json,root_preamble,1,1,0,1,1
context_108195.json,structured,37,37,0,1,1
context_108195.json,root_preamble,1,1,0,1,1
context_108241.json,structured,6,6,0,1,1
context_108241.json,root_preamble,1,1,0,1,1
context_108279.json,structured,32,32,0,1,1
context_108279.json,root_preamble,1,1,0,1,1
context_108288.json,structured,11,11,0,1,1
context_108288.json,root_preamble,1,1,0,1,1
context_108353.json,structured,7,7,0,1,1
context_108353.json,root_preamble,1,1,0,1,1
context_108356.json,structured,41,41,0,1,1
context_108356.json,root_preamble,1,1,0,1,1
context_108395.json,structured,17,17,0,1,1
context_108395.json,root_preamble,1,1,0,1,1
context_108396.json,structured,5,5,0,1,1
context_108396.json,root_preamble,1,1,0,1,1
context_108405.json,structured,3,3,0,1,1
context_108405.json,root_preamble,1,1,0,1,1
context_108451.json,structured,5,5,0,1,1
context_108451.json,root_preamble,1,1,0,1,1
context_108469.json,structured,3,3,0,1,1
context_108469.json,root_preamble,1,1,0,1,1
context_108496.json,structured,55,55,0,1,1
context_108496.json,root_preamble,1,1,0,1,1
context_108567.json,structured,4,4,0,1,1
context_108567.json,root_preamble,1,1,0,1,1
context_108598.json,structured,17,17,0,1,1
context_108598.json,root_preamble,1,1,0,1,1
context_108600.json,structured,16,16,0,1,1
context_108600.json,root_preamble,1,1,0,1,1
context_108651.json,structured,28,28,0,1,1
context_108651.json,root_preamble,1,1,0,1,1
context_108670.json,structured,91,91,0,1,1
context_108670.json,root_preamble,1,1,0,1,1
context_108674.json,unstructured_whole,1,1,0,1,1
context_108688.json,structured,17,17,0,1,1
context_108688.json,root_preamble,1,1,0,1,1
context_108711.json,structured,7,7,0,1,1
context_108711.json,root_preamble,1,1,0,1,1
context_108744.json,structured,31,31,0,1,1
context_108744.json,root_preamble,1,1,0,1,1
context_10876.json,structured,113,113,0,1,1
context_10876.json,root_preamble,1,1,0,1,1
context_108765.json,structured,18,18,0,1,1
context_108765.json,root_preamble,1,1,0,1,1
context_108806.json,structured,35,35,0,1,1
context_108806.json,root_preamble,1,1,0,1,1
